,Date_time,date_documented,Year,Month,Hour,Season,Country_Code,Country,Region,Locale,latitude,longitude,UFO_shape,length_of_encounter_seconds,Encounter_Duration,Description;;
116,2002-10-10 21:00:00,12/16/2005,2002,10,21,Autumn,USA,United States,Oregon,Portland,45.5236111,-122.675,Circle,120.0,2min,The LIGHT is the TRUTH&#33;;
117,2003-10-10 09:00:00,5/24/2005,2003,10,9,Autumn,USA,United States,Michigan,New Buffalo Township,41.79393,-86.743915,Light,120.0,2 minute,Craft that suddenly vanishes and another one that shows up and does strange things at high speeds;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
